Boro,OBJECTID,Type,Provider,Park_Wifi,Location,Lat,Long_,X,Y,Location_T,Remarks,City,Zip
SI,1,Limited Free,TimeWarner,Wolfe's Pond Park,Back of the Comfort Station,40.517299999599999,-74.191000000499997,931144.268929000012577,127800.859933999992791,,,Staten Island,
SI,2,Limited Free,TimeWarner,Wolfe's Pond Park,Southwestern corner of the South Parking Lot,40.516999999600003,-74.190300000199997,931338.659617000026628,127691.139681000000564,,,Staten Island,
SI,3,Limited Free,TimeWarner,Wolfe's Pond Park,Near the Chester Avenue Entrance to the South Parking Lot,40.518200000299998,-74.189800000199995,931478.627513000043109,128128.024961999995867,,,Staten Island,
SI,4,Limited Free,TimeWarner,Wolfe's Pond Park,Beach Side of the South Parking Lot,40.517100000200003,-74.189799999399995,931477.759404000011273,127727.270514000003459,,,Staten Island,
SI,5,Limited Free,TimeWarner,Wolfe's Pond Park,North Parking Lot,40.519200000399998,-74.188200000199998,931924.268354000058025,128491.387424000000465,,,Staten Island,
SI,6,Limited Free,TimeWarner,Blood Root Valley,Front of building,40.591949999599997,-74.139220000099996,945584.414917999994941,154970.486040999996476,,,Staten Island,
SI,7,Limited Free,TimeWarner,Blood Root Valley,Parking Lot behind building closest to soccer field,40.591899999699997,-74.139200000299994,945589.940497000003234,154952.261012000002665,,,Staten Island,
SI,8,Limited Free,TimeWarner,Blood Root Valley,First Floor,40.591899999900001,-74.138500000400001,945784.351525999954902,154951.952940999995917,,,Staten Island,
SI,9,Limited Free,TimeWarner,Blood Root Valley,Second Floor,40.592030000400001,-74.138119999699995,945889.963847000035457,154999.148713000002317,,,Staten Island,
SI,10,Limited Free,TimeWarner,Blood Root Valley,Parking Lot behind building closest to soccer field,40.592000000100001,-74.1380999995,945895.501237999997102,154988.210087000014028,,,Staten Island,
SI,11,Limited Free,TimeWarner,Barrett Park,Near Main Entrance,40.626099999600001,-74.114699999799996,952410.644047999987379,167402.336505000013858,,,Staten Island,
SI,12,Limited Free,TimeWarner,Barrett Park,Benches at Southeast corner in the park,40.624699999599997,-74.114400000499998,952493.254119000048377,166892.170859000005294,,,Staten Island,
